Ctip Ctail W Al M RMSD
98 1 0.0570008 -12.5975 0.208055 -0.0009161 5.27687
99 1 0.0794265 -13.8597 0.123283 -0.00132731 5.69727
100 1 0.0692728 -13.6706 0.129194 -0.00119363 2.90626
101 1 0.051649 -15.18 0.13801 -0.00124447 3.18279
102 1 0.0806974 -9.34945 0.176471 -0.00100676 2.89785
103 1 0.0463128 -16.0374 0.137555 -0.00138428 3.27439
104 1 0.0736212 -12.6376 0.157735 -0.00104997 3.10797
105 1 0.0794662 -10.6037 0.156365 -0.00106278 3.37534
106 1 0.0305777 -17.3079 0.155112 -0.00112486 2.60482
107 1 0.0301398 -15.051 0.180947 -0.000898159 3.48588
108 1 0.0593179 -13.5513 0.157353 -0.000947367 1.71938
109 1 0.0573405 -18.3728 0.102053 -0.00143476 2.41265
110 1 0.0827948 -14.8428 0.103144 -0.00121582 3.38817
111 1 0.01 -19.6373 0.14594 -0.00143422 3.68457
112 1 0.056981 -14.5309 0.196176 -0.00127128 6.5904
113 1 0.0434004 -15.5525 0.192131 -0.00127413 6.51721
114 1 0.0478704 -16.0123 0.161281 -0.00142564 3.63481
115 1 0.0758406 -10.826 0.202426 -0.000974788 4.07147
116 1 0.0468667 -17.3613 0.141991 -0.00146062 4.43163
117 1 0.081246 -13.3603 0.161424 -0.00112818 5.33523
118 1 0.0640983 -14.0081 0.145892 -0.00124272 3.78349
119 1 0.0714279 -13.1541 0.152902 -0.00121303 3.96522
120 1 0.0525817 -16.9183 0.15036 -0.00120358 3.23977
121 1 0.0410388 -18.3049 0.125774 -0.00151448 3.0929
122 1 0.0312854 -16.1514 0.179244 -0.00111268 4.08611
123 1 0.0588914 -17.1769 0.124367 -0.0014341 3.14906
124 1 0.0533401 -17.1147 0.115601 -0.00133537 2.85007
125 1 0.0720688 -13.4512 0.150693 -0.0012704 6.33378
126 1 0.064172 -16.2697 0.133631 -0.0014714 4.97026
127 1 0.0413524 -17.9152 0.12798 -0.0016129 3.23698
128 1 0.0560499 -14.81 0.150576 -0.0011965 5.13245
129 1 0.0704295 -18.324 0.104398 -0.00151897 4.22413
130 1 0.0713086 -14.1416 0.131787 -0.00125648 4.73594
131 1 0.0683289 -11.683 0.169481 -0.00097627 4.55261
132 1 0.0624599 -14.7512 0.13953 -0.00120153 2.83355
133 1 0.0487877 -17.6019 0.112752 -0.0015032 3.33275
134 1 0.0548996 -13.1077 0.169588 -0.000972435 3.99389
135 1 0.0632367 -13.2523 0.159146 -0.00116852 3.12502
136 1 0.0656038 -13.3444 0.144664 -0.00122457 2.80475
137 1 0.0795835 -15.0842 0.116686 -0.0013943 3.7553
138 1 0.105065 -14.7449 0.103228 -0.00136401 3.76186
139 1 0.066623 -12.7874 0.173944 -0.00104333 2.20609
140 1 0.0561957 -14.7643 0.169577 -0.000944773 4.24151
141 1 0.0455454 -13.0771 0.195404 -0.000831111 5.01083
142 1 0.037224 -14.1014 0.185408 -0.0010374 3.32209
143 1 0.0147873 -19.4248 0.119717 -0.00153391 2.74151
144 1 0.0706109 -15.5148 0.122382 -0.00121417 2.21771
145 1 0.0312099 -15.0151 0.193623 -0.00103851 2.8153
146 1 0.102626 -9.78575 0.181175 -0.00104563 7.94268
147 1 0.0745474 -12.9347 0.153261 -0.00105679 3.58695
148 1 0.0687716 -14.1988 0.144949 -0.00122389 2.04816
149 1 0.0250743 -17.0239 0.153542 -0.00143444 2.85942
150 1 0.0530576 -13.2779 0.162 -0.0011409 3.01869
151 1 0.01 -19.6012 0.127825 -0.00165403 4.02465
152 1 0.0520678 -18.2978 0.102256 -0.00154462 3.05781
153 1 0.0587511 -15.2038 0.143108 -0.00114673 2.00949
154 1 0.0551499 -14.271 0.170084 -0.00105995 2.80629
155 1 0.0663587 -16.3833 0.110097 -0.00135473 3.08259
156 1 0.0490142 -16.2693 0.157408 -0.00104614 3.18213
157 1 0.0549871 -14.6977 0.134206 -0.00113591 3.11051
158 1 0.0343358 -15.741 0.140329 -0.00127633 4.42282
159 1 0.0530339 -14.9925 0.146308 -0.000985375 2.72876
160 1 0.0573196 -15.955 0.12569 -0.00109774 2.35856
161 1 0.0393462 -16.1464 0.140544 -0.00106749 2.66853
162 1 0.0467947 -19.2365 0.109899 -0.00129352 2.6657
163 1 0.0676962 -14.6217 0.130117 -0.00122666 2.1566
164 1 0.027445 -16.8481 0.138919 -0.00128901 2.39397
165 1 0.0577177 -12.405 0.174244 -0.000867739 2.44318
166 1 0.0413666 -15.394 0.160592 -0.000983573 1.84947
167 1 0.0489817 -16.245 0.141175 -0.00112154 2.59296
168 1 0.0338213 -18.0736 0.116571 -0.00122737 2.74949
169 1 0.0787648 -18.0027 0.0746687 -0.00159191 3.12026
170 1 0.0612244 -15.0438 0.145924 -0.00118328 2.54521
171 1 0.0365878 -14.5699 0.194928 -0.000896764 4.0001
172 1 0.0473113 -20.2015 0.0843863 -0.00158421 2.68171
173 1 0.0210643 -16.4851 0.178765 -0.00106183 5.4818
174 1 0.0499816 -18.2421 0.121005 -0.00120887 2.37364
175 1 0.0454176 -21.5773 0.106132 -0.00131011 3.0648
176 1 0.0350132 -18.5603 0.118002 -0.00122806 2.47337
177 1 0.0357745 -15.3144 0.174397 -0.000895225 2.53948
178 1 0.0121529 -25 0.104101 -0.00155906 3.04678
179 1 0.01 -17.4216 0.17585 -0.0010583 4.18882
180 1 0.0433873 -15.1422 0.169114 -0.00143047 4.18345
181 1 0.0688882 -13.7835 0.156201 -0.00104757 4.95746
182 1 0.0642151 -14.4815 0.164781 -0.00111807 6.01596
183 1 0.0544339 -15.758 0.149094 -0.00130737 4.45592
184 1 0.0453922 -14.5814 0.181192 -0.00111288 3.94132
