Ctip Ctail W RMSD
139 2.15686 0.111243 -21.0101 1.52379
140 1.83087 0.0844986 -22.5594 2.2309
141 2.11792 0.0861364 -22.3535 1.86553
142 2.39377 0.109133 -21.6358 1.12893
143 2.15193 0.112187 -23.1872 2.70046
144 1.8769 0.0923379 -24.4355 2.05721
145 3.04274 0.111475 -20.7147 1.59066
146 8.80685 0.121803 -20.2696 4.60811
147 1.57071 0.0913169 -20.9785 1.78818
148 10 0.165526 -21.3059 3.41287
149 10 0.14297 -22.106 3.63664
150 10 0.161149 -22.4565 5.30751
151 6.06926 0.122077 -21.6186 4.42656
152 10 0.158965 -22.7726 4.98829
153 1.83554 0.103493 -22.3821 1.62871
154 6.47151 0.141327 -20.6615 2.46538
155 1.77182 0.0895537 -23.526 3.89476
156 1.61085 0.0821667 -20.898 2.2909
157 1.74792 0.0870203 -22.2991 2.76425
158 1.88389 0.103745 -21.9436 0.928536
159 1.63783 0.0731324 -22.4131 2.49629
160 1.60345 0.0805374 -23.266 2.38449
161 1.66565 0.0858244 -22.1342 2.17568
162 1.64312 0.091473 -24.0303 3.97894
163 1.62832 0.103037 -20.7013 2.92013
164 1.77278 0.0925623 -21.3766 1.57348
165 1.68345 0.0867363 -20.8716 0.937517
166 1.52002 0.0782274 -20.8193 2.13842
167 1.91669 0.0999126 -21.9639 3.02381
168 1.57971 0.0729934 -22.2642 2.46134
169 10 0.170433 -20.8264 6.92269
170 10 0.174796 -21.2782 6.81292
171 1.85416 0.0974502 -20.4827 1.77065
172 10 0.167968 -20.7522 5.86591
173 1.90235 0.0922915 -20.1132 2.9828
174 1.58188 0.0955215 -22.016 2.43238
175 1.08419 0.06535 -20.7032 3.19386
176 1.63461 0.0803866 -23.3447 2.49386
177 1.58812 0.0803488 -20.6324 1.56466
178 1.80477 0.104648 -22.0757 4.61848
179 1.96421 0.0848131 -21.8251 2.99984
180 10 0.15279 -25.3046 3.28499
181 1.86419 0.0764541 -24.9493 1.72737
182 2.02885 0.0690863 -25.5354 2.18093
183 2.14028 0.092932 -24.1493 2.34726
184 6.74727 0.132547 -24.1101 3.27296
185 1.89663 0.0906075 -24.161 2.18562
186 5.99067 0.154017 -23.3576 2.72958
187 8.06606 0.156099 -23.4747 3.61186
188 2.22148 0.109237 -25.0755 1.59837
189 1.78362 0.0675732 -25.4793 2.8662
190 6.42334 0.130807 -22.5334 3.41116
191 2.22161 0.0918235 -24.4999 2.30529
192 2.21841 0.0977702 -25.6901 3.19943
193 2.00468 0.100354 -25.6943 3.20508
194 1.89278 0.0874608 -24.3377 1.63379
195 1.84644 0.085802 -23.7026 0.835116
196 2.13131 0.0907846 -23.99 1.89891
197 1.71821 0.0824646 -24.2244 1.99621
198 1.70306 0.0988243 -24.6499 2.5795
199 1.86531 0.0747227 -25.1627 1.9422
200 2.1351 0.1146 -22.4807 2.43797
201 2.19961 0.0891213 -22.3317 2.66253
202 10 0.128324 -22.5055 3.90236
203 2.07715 0.092743 -22.4109 3.51114
204 2.09743 0.0900727 -24.1072 2.95852
205 10 0.145448 -23.0812 3.68282
206 2.02434 0.0800789 -25.3322 2.85157
207 2.0374 0.121588 -23.8736 2.31187
208 1.66886 0.0960724 -22.8215 1.17022
209 1.78097 0.104771 -25.106 3.74757
210 1.66738 0.0833083 -22.9002 2.22406
211 1.76775 0.072531 -25.0338 2.62025
212 1.82227 0.0836617 -24.6672 1.79542
213 1.60337 0.0871851 -24.3054 1.64683
214 1.50834 0.0746671 -24.3562 2.79089
215 1.76104 0.0704607 -25.7535 2.93524
216 1.9564 0.11055 -23.6425 2.37318
217 4.85534 0.130981 -21.899 2.88098
218 1.89704 0.0957433 -23.5602 2.73377
219 1.56551 0.0814206 -22.825 2.61162
220 9.27338 0.146359 -20.9394 4.40935
221 1.72322 0.0979798 -21.3263 1.44261
222 1.54711 0.0841069 -23.8947 1.57233
223 1.67024 0.0782929 -22.8311 1.61748
224 1.82184 0.0996688 -22.7106 1.56967
225 1.75245 0.0894451 -24.6057 1.25377
226 1.65836 0.0995131 -21.8751 1.79034
227 1.88905 0.0969952 -25.2136 3.27714
228 1.60912 0.0737761 -23.8292 1.77122
229 1.55647 0.0860701 -22.7858 1.86527
230 1.94969 0.099611 -25.4451 4.20565
231 1.56958 0.0985964 -22.1858 2.5388
